hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Golden Nest,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d19656154-Reviews-Golden_Nest-Bangkok.html,Как добраться,"3,5","3,0",1 733 руб - 2 280 руб,1 733 руб,2 280 руб
BoonRumpa Accommodation,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d13107514-Reviews-BoonRumpa_Accommodation-Bangkok.html,Как добраться,,,3 100 руб - 4 012 руб,3 100 руб,4 012 руб
Рангсит Гран Кондо,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d3312759-Reviews-Rangsit_Grand_Condo-Bangkok.html,Как добраться,"3,5","1,0",1 185 руб - 1 368 руб,1 185 руб,1 368 руб
OYO 460 Int Place,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d7856176-Reviews-OYO_460_Int_Place-Bangkok.html,Как добраться,"3,0","2,5",2 097 руб - 2 462 руб,2 097 руб,2 462 руб
Resortel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d6937608-Reviews-Resortel-Bangkok.html,Как добраться,"5,0","1,0",1 185 руб - 1 368 руб,1 185 руб,1 368 руб
Ли Плейс,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d2720475-Reviews-Lee_Place-Bangkok.html,Как добраться,,"3,0",2 736 руб - 3 830 руб,2 736 руб,3 830 руб
Гран Инн Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d523237-Reviews-Grand_Inn_Hotel-Bangkok.html,Как добраться,"3,5","3,0",3 009 руб - 3 648 руб,3 009 руб,3 648 руб
Азия Резорт Касет Навамин,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d3184305-Reviews-Asia_Resort_Kaset_Nawamin-Bangkok.html,Как добраться,"3,0","3,0",1 459 руб - 1 550 руб,1 459 руб,1 550 руб
On the bed hostel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d10263364-Reviews-On_The_Bed_Hostel-Bangkok.html,Как добраться,"3,5","2,0",1 368 руб - 1 733 руб,1 368 руб,1 733 руб
Даймонд Бангкок Апартаменты,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d3292166-Reviews-Diamond_Bangkok_Apartment-Bangkok.html,Как добраться,"3,0","2,0",1 915 руб - 2 371 руб,1 915 руб,2 371 руб
